model,context,subset,emotion,precision,recall,f1,support
mistral_7b,nocontext,full,Anger,0.07692307692307693,0.043478260869565216,0.05555555555555555,23
mistral_7b,nocontext,full,Disgust,0.25,0.3333333333333333,0.2857142857142857,3
mistral_7b,nocontext,full,Fear,0.0,0.0,0.0,3
mistral_7b,nocontext,full,Happiness,0.5,0.058823529411764705,0.10526315789473684,51
mistral_7b,nocontext,full,Neutral,0.8794520547945206,0.9654135338345865,0.9204301075268817,665
mistral_7b,nocontext,full,Sadness,0.0,0.0,0.0,5
mistral_7b,nocontext,full,Surprise,0.5,0.07142857142857142,0.125,14
mistral_7b,nocontext,test,Anger,0.0,0.0,0.0,3
mistral_7b,nocontext,test,Disgust,0.0,0.0,0.0,0
mistral_7b,nocontext,test,Fear,0.0,0.0,0.0,0
mistral_7b,nocontext,test,Happiness,1.0,0.1,0.18181818181818182,10
mistral_7b,nocontext,test,Neutral,0.8827586206896552,0.9624060150375939,0.920863309352518,133
mistral_7b,nocontext,test,Sadness,0.0,0.0,0.0,1
mistral_7b,nocontext,test,Surprise,0.0,0.0,0.0,4
mixtral_8x7b,nocontext,full,Anger,0.06666666666666667,0.041666666666666664,0.05128205128205128,24
mixtral_8x7b,nocontext,full,Disgust,0.1,0.3333333333333333,0.15384615384615385,3
mixtral_8x7b,nocontext,full,Fear,0.0,0.0,0.0,3
mixtral_8x7b,nocontext,full,Happiness,0.2631578947368421,0.09615384615384616,0.14084507042253522,52
mixtral_8x7b,nocontext,full,Neutral,0.8930099857346647,0.9427710843373494,0.9172161172161172,664
mixtral_8x7b,nocontext,full,Sadness,0.0,0.0,0.0,3
mixtral_8x7b,nocontext,full,Surprise,0.0,0.0,0.0,14
mixtral_8x7b,nocontext,test,Anger,0.0,0.0,0.0,4
mixtral_8x7b,nocontext,test,Disgust,0.0,0.0,0.0,0
mixtral_8x7b,nocontext,test,Fear,0.0,0.0,0.0,0
mixtral_8x7b,nocontext,test,Happiness,0.3333333333333333,0.09090909090909091,0.14285714285714285,11
mixtral_8x7b,nocontext,test,Neutral,0.8661971830985915,0.924812030075188,0.8945454545454545,133
mixtral_8x7b,nocontext,test,Sadness,0.0,0.0,0.0,1
mixtral_8x7b,nocontext,test,Surprise,0.0,0.0,0.0,4
phi4-mini_latest,nocontext,full,Anger,0.07692307692307693,0.043478260869565216,0.05555555555555555,23
phi4-mini_latest,nocontext,full,Disgust,0.05405405405405406,0.5,0.0975609756097561,4
phi4-mini_latest,nocontext,full,Fear,0.0,0.0,0.0,3
phi4-mini_latest,nocontext,full,Happiness,0.15,0.057692307692307696,0.08333333333333333,52
phi4-mini_latest,nocontext,full,Neutral,0.9158512720156555,0.7037593984962406,0.7959183673469388,665
phi4-mini_latest,nocontext,full,Sadness,0.0,0.0,0.0,5
phi4-mini_latest,nocontext,full,Surprise,0.03888888888888889,0.5,0.07216494845360824,14
phi4-mini_latest,nocontext,test,Anger,0.0,0.0,0.0,3
phi4-mini_latest,nocontext,test,Disgust,0.1111111111111111,1.0,0.2,1
phi4-mini_latest,nocontext,test,Fear,0.0,0.0,0.0,0
phi4-mini_latest,nocontext,test,Happiness,0.0,0.0,0.0,11
phi4-mini_latest,nocontext,test,Neutral,0.9183673469387755,0.6766917293233082,0.7792207792207793,133
phi4-mini_latest,nocontext,test,Sadness,0.0,0.0,0.0,1
phi4-mini_latest,nocontext,test,Surprise,0.05405405405405406,0.5,0.0975609756097561,4
phi4_14b,nocontext,full,Anger,0.125,0.125,0.125,24
phi4_14b,nocontext,full,Disgust,0.034482758620689655,0.25,0.06060606060606061,4
phi4_14b,nocontext,full,Fear,0.0,0.0,0.0,3
phi4_14b,nocontext,full,Happiness,0.375,0.22641509433962265,0.2823529411764706,53
phi4_14b,nocontext,full,Neutral,0.9117647058823529,0.8843843843843844,0.8978658536585366,666
phi4_14b,nocontext,full,Sadness,0.125,0.2,0.15384615384615385,5
phi4_14b,nocontext,full,Surprise,0.10526315789473684,0.14285714285714285,0.12121212121212122,14
phi4_14b,nocontext,test,Anger,0.0,0.0,0.0,4
phi4_14b,nocontext,test,Disgust,0.0,0.0,0.0,1
phi4_14b,nocontext,test,Fear,0.0,0.0,0.0,0
phi4_14b,nocontext,test,Happiness,0.25,0.18181818181818182,0.21052631578947367,11
phi4_14b,nocontext,test,Neutral,0.8863636363636364,0.8796992481203008,0.8830188679245283,133
phi4_14b,nocontext,test,Sadness,0.0,0.0,0.0,1
phi4_14b,nocontext,test,Surprise,0.25,0.25,0.25,4
qwen3_14b,nocontext,full,Anger,0.0,0.0,0.0,24
qwen3_14b,nocontext,full,Disgust,0.10714285714285714,0.75,0.1875,4
qwen3_14b,nocontext,full,Fear,0.0,0.0,0.0,3
qwen3_14b,nocontext,full,Happiness,0.32,0.1509433962264151,0.20512820512820512,53
qwen3_14b,nocontext,full,Neutral,0.9040114613180515,0.9474474474474475,0.9252199413489736,666
qwen3_14b,nocontext,full,Sadness,0.09090909090909091,0.2,0.125,5
qwen3_14b,nocontext,full,Surprise,0.0,0.0,0.0,14
qwen3_14b,nocontext,test,Anger,0.0,0.0,0.0,4
qwen3_14b,nocontext,test,Disgust,0.5,1.0,0.6666666666666666,1
qwen3_14b,nocontext,test,Fear,0.0,0.0,0.0,0
qwen3_14b,nocontext,test,Happiness,0.4,0.18181818181818182,0.25,11
qwen3_14b,nocontext,test,Neutral,0.8865248226950354,0.9398496240601504,0.9124087591240876,133
qwen3_14b,nocontext,test,Sadness,0.0,0.0,0.0,1
qwen3_14b,nocontext,test,Surprise,0.0,0.0,0.0,4
qwen3_30b,nocontext,full,Anger,0.25,0.041666666666666664,0.07142857142857142,24
qwen3_30b,nocontext,full,Disgust,0.0,0.0,0.0,3
qwen3_30b,nocontext,full,Fear,0.0,0.0,0.0,3
qwen3_30b,nocontext,full,Happiness,0.5,0.09433962264150944,0.15873015873015872,53
qwen3_30b,nocontext,full,Neutral,0.8856749311294766,0.9654654654654654,0.9238505747126436,666
qwen3_30b,nocontext,full,Sadness,0.125,0.2,0.15384615384615385,5
qwen3_30b,nocontext,full,Surprise,0.25,0.14285714285714285,0.18181818181818182,14
qwen3_30b,nocontext,test,Anger,0.0,0.0,0.0,4
qwen3_30b,nocontext,test,Disgust,0.0,0.0,0.0,0
qwen3_30b,nocontext,test,Fear,0.0,0.0,0.0,0
qwen3_30b,nocontext,test,Happiness,0.3333333333333333,0.09090909090909091,0.14285714285714285,11
qwen3_30b,nocontext,test,Neutral,0.8827586206896552,0.9624060150375939,0.920863309352518,133
qwen3_30b,nocontext,test,Sadness,0.0,0.0,0.0,1
qwen3_30b,nocontext,test,Surprise,0.0,0.0,0.0,4
